galaxy,n_pts,log_M200,log_c,c_nfw,chi2_nfw,chi2_bur,best,V_max
NGC4214,14,11.5,1.0,10.0,2072.85873365156,2072.85873365156,Burkert,80.6
NGC4217,19,11.5,1.0,10.0,12597.476812762929,12597.476812762929,Burkert,191.0
NGC4559,32,11.5,1.0,10.0,13785.770097918943,13785.77009791894,Burkert,124.0
NGC5005,18,11.5,1.0,10.0,3704.4242604400238,3704.4242604400238,Burkert,265.0
NGC5033,22,11.5,1.0,10.0,32333.44375,32333.44375,Burkert,225.0
NGC5055,28,11.5,1.0,10.0,37273.48663502276,37273.48663502276,Burkert,206.0
NGC5371,19,11.5,1.0,10.0,34495.53734693877,34495.53734693877,Burkert,242.0
NGC5585,24,11.5,1.0,10.0,4358.266,4358.265999999999,Burkert,92.3
NGC5907,19,11.5,1.0,10.0,34235.35882086168,34235.35882086168,Burkert,235.0
NGC5985,33,11.5,1.0,10.0,76544.91135653685,76544.91135653685,Burkert,305.0
NGC6015,44,11.5,1.0,10.0,32239.74983794602,32239.74983794602,Burkert,166.0
NGC6195,23,11.5,1.0,10.0,33005.915614063095,33005.915614063095,Burkert,258.0
NGC6503,31,11.5,1.0,10.0,15694.86,15694.859999999997,Burkert,121.0
NGC6674,15,11.5,1.0,10.0,32413.628476247166,32413.628476247166,Burkert,291.0
NGC6946,58,11.5,1.0,10.0,43536.7030259808,43536.7030259808,Burkert,181.0
NGC7331,36,11.5,1.0,10.0,73403.62091099979,73403.62091099979,Burkert,257.0
NGC7793,46,11.5,1.0,10.0,6797.8861567311405,6797.8861567311405,Burkert,116.0
NGC7814,18,11.5,1.0,10.0,28688.036792497915,28688.036792497915,Burkert,265.0
UGC00128,22,11.5,1.0,10.0,12461.733961940357,12461.733961940354,Burkert,134.0
UGC00191,9,11.5,1.0,10.0,1269.8129111111111,1269.812911111111,Burkert,83.85
UGC00731,12,11.5,1.0,10.0,1920.3904000000002,1920.3903999999993,Burkert,74.0
UGC01230,11,11.5,1.0,10.0,806.5366512156336,806.5366512156334,Burkert,113.0
UGC01281,25,11.5,1.0,10.0,1299.192585972327,1299.1925859723267,Burkert,56.9
UGC02259,8,11.5,1.0,10.0,2074.7732,2074.7731999999996,Burkert,90.0
UGC02455,8,11.5,1.0,10.0,509.1568,509.15679999999986,Burkert,61.0
UGC02487,17,11.5,1.0,10.0,55618.38274660522,55618.38274660522,Burkert,383.0
UGC02885,19,11.5,1.0,10.0,15557.750000000004,15557.750000000004,Burkert,305.0
UGC02916,43,11.5,1.0,10.0,49019.61711562927,49019.61711562927,Burkert,218.0
UGC02953,115,11.5,1.0,10.0,257978.34014834408,257978.34014834408,Burkert,319.0
UGC03205,48,11.5,1.0,10.0,54297.80032217529,54297.80032217529,Burkert,237.0
UGC03546,30,11.5,1.0,10.0,21433.737384021777,21433.737384021777,Burkert,262.0
UGC03580,47,11.5,1.0,10.0,14184.438963538085,14184.438963538085,Burkert,131.0
UGC04278,25,11.5,1.0,10.0,2706.310148151504,2706.3101481515037,Burkert,92.8
UGC04305,22,11.5,1.0,10.0,858.0846697753224,858.084669775322,Burkert,37.3
UGC04325,8,11.5,1.0,10.0,2191.5847999999996,2191.5847999999996,Burkert,92.7
UGC04483,8,11.5,1.0,10.0,120.31448400000001,120.31448399999996,Burkert,24.3
UGC04499,9,11.5,1.0,10.0,1418.248,1418.2479999999996,Burkert,74.3
UGC05005,11,11.5,1.0,10.0,605.4144514209452,605.4144514209452,Burkert,100.0
UGC05253,73,11.5,1.0,10.0,129339.14105781834,129339.14105781834,Burkert,248.0
UGC05716,12,11.5,1.0,10.0,2051.5534000000002,2051.5533999999993,Burkert,74.7
