Complexity,Loss,Equation
1,0.11972496,"1.5257605"
4,0.10074514,"sqrt(x0) + 0.33540067"
5,0.08178906,"x0 * (2.5833685 - x0)"
6,0.04344959,"square(x0) * (2.2557173 - x0)"
7,0.043449566,"x0 * (x0 * (2.2557147 - x0))"
8,0.04240389,"(2.3584917 - (x0 * 1.063167)) * square(x0)"
9,0.041382466,"(square(x0) * (4.573954 - square(x0))) * 0.33483422"
10,0.03335501,"x0 / (square(0.21794187 / (2.1149087 - x0)) + 0.74764365)"
11,0.030606344,"x0 / (square(square(-0.30190754 / (x0 - 2.1729422))) + 0.8230575)"
12,0.030597571,"x0 / (square(square(square(0.62020224 / (2.4908593 - x0)))) + 0.8384653)"
13,0.029747486,"sqrt(x0) / (square(0.5810014 - (-0.30545902 / (x0 - 2.0924342))) + 0.71107394)"
14,0.020005828,"x0 / (square((-0.1533819 / (x0 - 1.8978941)) - log(square(x0))) + 0.74892414)"
15,0.018052695,"(((2.1007228 - x0) - (-0.027691016 / (1.1681087 - x0))) * x0) * (x0 * x0)"
