Upsilon_disk,Upsilon_bul,n_points,a0_MOND,chi2_MOND,chi2_red_MOND,a_CPX3,b_CPX3,chi2_CPX3,chi2_red_CPX3,a_CPX5,b_CPX5,chi2_CPX5,chi2_red_CPX5
0.3,0.3,3387,1.1132844926509283e-10,44703.860389022484,13.202557704968246,0.7549092060174102,-2.09829337599314,37938.021895123806,11.207687413625939,-17.953816377377553,-82.89730951298364,38089.063228866304,11.252308191688716
0.3,0.5,3387,1.050659746256988e-10,40800.505071381005,12.049765230768164,0.7106938454860797,-2.594024835921418,37447.67792428873,11.06282951973079,-17.403226969824484,-76.7241252928332,38625.05465475804,11.410651301257914
0.3,0.7,3387,9.83195497358883e-11,41283.03308511819,12.192272027500943,0.6738882373839563,-3.0068053831316304,38298.658058918605,11.314226900714507,-16.96200500635088,-71.77122489329231,40491.02981866342,11.961899503297907
0.3,1.0,3387,8.822169606757244e-11,49626.247567683255,14.656304656728663,0.6329245553775175,-3.4676491792153463,39932.42803356867,11.796876819370361,-16.48957616321665,-66.44829752516017,43150.75476394518,12.747638039570216
0.5,0.3,3389,7.004495794212931e-11,39310.49922101797,11.602862816121007,0.7187334263294038,-2.5899876223234464,38769.211563287914,11.446475217976946,-17.57652516476737,-77.80843860494758,38386.26913579546,11.333412794743271
0.5,0.5,3389,6.634216111542909e-11,36284.523068303984,10.709717552628094,0.7010199173247349,-2.7893748310504707,36371.968116933305,10.738697406830028,-17.3484829624706,-75.24837475098006,35937.88076764898,10.610534622866544
0.5,0.7,3389,6.246754103574678e-11,37363.54152983011,11.028199979288697,0.6788910161320239,-3.035370486403872,35696.84580105412,10.539369885165078,-17.06052806778721,-72.05375699587778,35828.75416211621,10.5783153711592
0.5,1.0,3389,5.6720691088308824e-11,46399.4644308686,13.69523743532131,0.6480700199489381,-3.377385299803384,35969.297852745265,10.619810408250743,-16.67269686456894,-67.75406291745777,37126.507101134936,10.961472424309104
0.7,0.3,3389,4.4898051812343895e-11,41194.32016976959,12.158890250817471,0.6921832880699235,-2.947531024347033,40613.9601984334,11.991130852799941,-17.268253804403308,-73.7714657693535,40143.60937018899,11.85226140247682
0.7,0.5,3389,4.2578511467937736e-11,39069.46123784158,11.531718192987478,0.6861049801403808,-3.018600180401408,37775.291495451675,11.153023766002857,-17.189561408076717,-72.8589136604454,36826.807565289,10.872987176052257
0.7,0.7,3389,4.0210809110319596e-11,40930.661727297396,12.081068986805606,0.6740479433711914,-3.1530283155919117,36323.740165800366,10.724458271567867,-17.028630930538867,-71.07269683378101,35430.00443306244,10.460585896977395
0.7,1.0,3389,3.673907983717196e-11,51066.351088469295,15.072712836029899,0.6528450996550373,-3.3869933438108335,35553.012225471495,10.496903520954088,-16.747013826157243,-67.97542982542392,35257.76145180654,10.409731754297768
1.0,0.3,3389,2.3165664939295067e-11,56371.298242252094,16.638517781066145,0.6664811669410511,-3.3017179539842347,42888.39430308215,12.66264963185183,-16.95371193922229,-69.62115666900792,42341.050036867455,12.501048136069517
1.0,0.5,3389,2.1963153208700743e-11,55828.34638184587,16.478260443283904,0.6669516302795251,-3.3010278088610736,40148.77506880874,11.853786557073734,-16.95485914561763,-69.58539384880316,39022.978587659265,11.521399051567542
1.0,0.7,3389,2.0770137505816778e-11,59213.62892123529,17.477458359278423,0.6627531612716375,-3.3495604054505033,38336.33536001556,11.318670020671851,-16.89779780131504,-68.93380681891969,36910.7604754214,10.897773981523885
1.0,1.0,3389,1.9047183460790696e-11,71618.58186878296,21.138896655484935,0.6516203521862258,-3.472893644705888,36769.35285407686,10.856023871885698,-16.745194843899597,-67.25460486289279,35372.40665410026,10.44358035255396
