model,a0,a0_err,chi2,chi2_red,AIC,BIC,params
SR CPX7 (shifted inverted),,,35408.96913689672,10.457462828380601,7958.052154096121,7976.437024610942,[ -24.60803318 -310.54033236   11.02259199]
SR CPX3 (linear log-log),,,35696.84580105412,10.539369885165078,7983.493491942515,7995.750072285729,[ 0.67889102 -3.03537049]
SR CPX5 (inverted),,,35828.75416211621,10.5783153711592,7995.9935742257685,8008.250154568983,[-17.06052807 -72.053757  ]
MOND McGaugh+2016 (RAR),6.491624574469249e-11,4.1345655096423417e-13,36788.21474678967,10.858386879217731,8083.553940214876,8089.682230386483,[6.49162457e-11]
MOND Simple (Famaey+2005),6.246754103574678e-11,4.099531024570985e-13,37363.54152983011,11.028199979288697,8136.143971571123,8142.27226174273,[6.2467541e-11]
MOND Standard (Kent 1987),9.393898774805726e-11,5.228962488492577e-13,38446.24200651662,11.347769187283538,8232.952622079309,8239.080912250916,[9.39389877e-11]
