name,a,b,a_err,b_err
All galaxies,-17.075297334719618,-72.89227990700122,0.043908339571832974,0.46055640966951616
Dwarfs (V<80),-16.350988102951685,-63.29490996845214,0.3482105742256402,3.9293248076530887
Spirals (80<V<180),-15.520248002522315,-56.42489409026942,0.10056741488797966,1.0859501134431722
Massive (V>180),-16.784715275195115,-70.28790608520806,0.05011274677421221,0.49825751017035497
Gas-poor,-16.81744923411873,-70.39589745077278,0.05811333267616137,0.5785550178921659
Gas-rich,-17.325938576863084,-75.58634290813437,0.12647822469641692,1.395994475473127
HSB,-17.139145682463493,-73.52915358479028,0.046348745694812156,0.4833872223021458
LSB,-16.157176897079392,-62.96963412068084,0.23067615446504722,2.575391557168693
