galaxy,n_pts,a0_simple,rms_simple,a0_mcgaugh,rms_mcgaugh,cpx5_a,cpx5_b,rms_cpx5,gas_frac,log_SB,V_max,D_mpc
NGC2841,50,1.2e-10,0.16632683579512603,1.2e-10,0.17473136205408046,-16.804195468495777,-72.1044466930169,0.018064985636806696,0.0013328164049128902,1.6585837154070628,323.0,14.1
NGC2903,34,1.2e-10,0.22392455115902243,1.2e-10,0.21816140774005172,-15.09171126899396,-52.67357159170063,0.1650834825614441,0.0010719929681399579,1.274619619091238,216.0,6.6
NGC2915,30,1.2e-10,0.31669666272467983,1.2e-10,0.31579396751849703,-11.86240373403994,-16.475170950706996,0.1759533730871856,0.03438144854431215,-1.0,86.5,4.06
NGC2955,24,1.2e-10,0.07839152856272222,1.2e-10,0.07186589496717023,-17.57646399908533,-77.40994455682072,0.049822556555208036,0.0008147215535104635,2.2807604263262666,276.0,97.9
NGC2976,27,1.2e-10,0.21566422456787007,1.2e-10,0.2132279793791731,-25.104682712148914,-154.72109396860046,0.0976850909430445,0.008762360917227905,2.3883854257180324,88.7,3.58
NGC2998,13,1.2e-10,0.23876839171673275,1.2e-10,0.24396766351767418,-20.01783027186895,-104.47966869858651,0.16175153935022846,0.0024094023626037198,1.7489628612561614,214.0,68.1
NGC3109,25,1.2e-10,0.11928668153015297,1.2e-10,0.11934761735741135,-21.10451852967306,-120.25000549824142,0.10247046958176798,0.14499573251006231,0.2944662261615929,67.3,1.33
NGC3198,43,1.2e-10,0.14700132300379126,1.2e-10,0.14358995803547428,-15.886342691749892,-59.904112809420454,0.11933465055636115,0.0038356145450087146,1.7609499514108973,157.0,13.8
NGC3521,41,1.2e-10,0.0287250388885727,1.2e-10,0.03200528886417407,-16.86622836707137,-71.07570198996811,0.0322647948275043,0.0005236068346593214,2.6341143668076317,220.0,7.7
NGC3726,12,1.2e-10,0.14559002279085262,1.2e-10,0.14114189288530524,-15.7286525914707,-57.694076305732885,0.04303999611050355,0.0027986125768004557,1.3268476989159903,169.0,18.0
NGC3741,21,1.2e-10,0.08827017002568426,1.2e-10,0.08794423574267747,-13.841587910314626,-35.772122511816654,0.037643754053697714,0.23460047966557038,-1.0,51.6,3.21
NGC3769,12,1.2e-10,0.11825665260125495,1.2e-10,0.11450355079468023,-16.52029108105641,-66.19188124849052,0.046273380900337543,0.007093803730056131,0.3010299956639812,126.0,18.0
