m_bar,vmax,r_vmax,g_bar,g_obs
61287511071744.91,999.385,483.9503985828166,3.648407893841317e-11,6.688228483512835e-11
7121517567168.586,514.776,555.360200767641,3.2192607087840973e-12,1.5463511726654934e-11
813315618541.4822,461.641,104.78520814880424,1.0327429935810889e-11,6.591056967048971e-11
422041629760.8503,291.937,3.407440212577502,5.067945179694776e-09,8.105808452179171e-10
272685710067.90668,294.433,62.14703277236492,9.843616587685181e-12,4.520629030185627e-11
222567168585.76913,311.58,112.70711544139357,2.4428203934438223e-12,2.7914773644856247e-11
315124003542.9584,369.447,32.22689695896074,4.23036275826432e-11,1.3725624000855574e-10
192950560968.4086,336.254,3.004133451431946,2.980854025151504e-09,1.219725200703322e-09
223330439917.33096,329.114,2.454827280779451,5.167008133255497e-09,1.4299408473557679e-09
201116031886.62534,290.874,22.59300265721878,5.493281952813774e-11,1.213618400741183e-10
263010924121.64157,306.552,1.898730439917331,1.0171389072437949e-08,1.6039517300868423e-09
260188957779.7461,352.194,3.0578683200472394,3.8795772866647806e-09,1.3145933345934806e-09
83734868615.29378,268.099,3.032034248597579,1.2699050311316067e-09,7.682500285326998e-10
97074106879.24417,301.771,2.687333923826395,1.8741020696028523e-09,1.0981955232953084e-09
168427812223.2064,321.888,3.218039563035134,2.2675880262193935e-09,1.04343282122597e-09
81290389725.42073,236.495,3.3309713610865077,1.0214815197302132e-09,5.441508692836804e-10
100686108650.72336,300.347,2.430912311780337,2.3755494531698297e-09,1.2026066556451173e-09
84759403602.00768,258.657,2.4278122232063772,2.0048912051527025e-09,8.930580266564276e-10
88419545320.34248,209.173,3.284617655742545,1.1426460878534437e-09,4.3169073398754753e-10
132973132565.69235,278.622,2.984794803661057,2.0809806684365412e-09,8.428739472017176e-10
81270298198.99615,195.947,30.052996752288163,1.2545540887293726e-11,4.140337579585091e-11
109763950398.58281,244.642,2.797313256569235,1.9557377906154906e-09,6.933734899659548e-10
48105521110.12696,251.975,2.2463832299970474,1.3291081856213099e-09,9.15961793774405e-10
107320194862.71036,330.301,2.8848538529672276,1.7979057652117683e-09,1.2255816783782357e-09
86710067906.70209,194.342,5.195157956894007,4.479248106588966e-10,2.3560303378989186e-10
67762178919.3977,252.448,2.7283731916149985,1.2691499033130532e-09,7.569834675496878e-10
53359875996.45704,196.281,3.7121346324180693,5.398840281960939e-10,3.363404527422303e-10
46766533805.72778,193.523,2.94390315913788,7.523522931822957e-10,4.122759067982927e-10
44619146737.52583,234.668,2.7344257454974903,8.319976465950862e-10,6.526613712302151e-10
34964157071.15441,196.951,3.804694419840567,3.3675697944274395e-10,3.3040217572615703e-10
51341157366.40095,235.607,3.6817242397401833,5.280757769670052e-10,4.886202048847961e-10
77012400354.29584,256.841,3.009743135518158,1.1853180569317096e-09,7.103061439163833e-10
48376173604.960144,199.858,4.154266312370829,3.908192546725565e-10,3.1159827140700003e-10
39299232359.01978,199.2,2.383525243578388,9.64445434067904e-10,5.39517097045894e-10
51320047239.44494,243.611,2.192500738116327,1.4884719564553317e-09,8.772034686028985e-10
