g_bar,g_obs,V_c,r_kpc
5.847586482533438e-11,2.3356683397647423e-10,710.0590861305657,69.95586064363744
1.4565594348877547e-10,9.253630559250605e-10,1294.7940225478703,58.71316799527606
1.8242039469206584e-11,1.207368254508393e-10,1342.7561573274602,483.9503985828166
6.241825884987343e-11,1.9692066677055492e-10,390.6453828396779,25.114260407440213
8.554599095537774e-11,4.747734055460397e-10,609.9468138201979,25.394744611750813
1.6096303543920486e-12,1.2234164456287894e-11,457.87969409072974,555.360200767641
9.069696124070475e-11,2.706208780884276e-10,429.78255732295804,22.119870091526426
8.136544385828972e-11,3.607023594855535e-10,561.3237502385933,28.30897549453794
5.1637149679054444e-12,7.249258220888433e-11,484.1429647334363,104.78520814880424
1.290366927153173e-10,2.654499707910327e-10,281.0037797498986,9.6402421021553
4.8182618244176267e-11,1.334185431094042e-10,283.0831022682281,19.465160909359316
2.533972589847388e-09,3.005878905991144e-08,1777.7746650817153,3.407440212577502
5.301972887431306e-11,1.8624921957741275e-10,276.1853597148169,13.272512547977561
1.0049472574604977e-10,5.065469044446143e-10,428.9213779249185,11.770150575730735
4.921808293842591e-12,8.669431607882328e-11,407.73910158889424,62.14703277236492
8.607157111539848e-11,1.951116161236908e-10,274.3738073291662,12.503985828166519
9.86829929214942e-11,3.4150301242426623e-10,382.5178465533533,13.885296722763508
1.221410196721911e-12,2.4143361876715097e-11,289.7686447827685,112.70711544139357
1.2543186041161282e-10,3.009790971334898e-10,346.4302205849421,12.922350162385593
8.011388126061353e-11,2.772979410825362e-10,415.44175707570486,20.17065249483319
2.11518137913216e-11,2.0494464189786798e-10,451.4445139651513,32.22689695896074
1.8622653907657243e-10,3.785207268731966e-10,314.9944370394358,8.494980808975495
9.89412093600294e-11,2.76847689259786e-10,337.7503406674333,13.353557720696783
1.4904270125757522e-09,1.5716311480685397e-08,1207.0125191319712,3.004133451431946
1.4396445553721644e-10,2.8082214992655596e-10,300.23604145337526,10.402568644818423
1.003109946309475e-10,2.7998048954898325e-10,355.5645875777172,14.633746678476529
2.5835040666277486e-09,2.0244137423774938e-08,1238.3316104492633,2.454827280779451
1.0029084058833554e-10,2.1421853468650157e-10,279.561489414554,11.823442574549748
7.928011733386562e-11,2.461366990051763e-10,350.9637302683587,16.217891939769707
2.746640976406887e-11,2.602591314229289e-10,425.95803507091904,22.59300265721878
1.272683265705617e-10,2.2716504023934692e-10,283.8784315305618,11.496604664895187
7.504022686417897e-11,1.878289490207764e-10,324.2352397892557,18.13861824623561
5.085694536218974e-09,2.9553008640894462e-08,1315.859005684437,1.898730439917331
2.6702112546250483e-10,4.2560632558907653e-10,328.99712670054265,8.241806908768822
8.314234135088479e-11,1.619833300225904e-10,298.11498277315553,17.7804842043106
1.9397886433323903e-09,5.097013344968473e-09,693.4962633582287,3.0578683200472394
1.4545957877495156e-10,3.399284855334695e-10,257.7729916446816,6.3348095659876
