Basal_x,Basal_y,Basal_y_lower,Basal_y_upper,Field_x,Field_y,Field_y_lower,Field_y_upper,Maximum_x,Maximum_y,Maximum_y_lower,Maximum_y_upper
1e-20,5.3722118336477e-22,0,0,1e-20,2.9393471157237377e-21,0,0,1e-20,2.3950421143902443e-20,0,0
1e+30,3.166546999333254e+26,0,0,1e+30,3.7331240302350376e+27,0,0,1e+30,8.623440532030907e+25,0,0
