group,state,species,mass_g,metabolic_rate_W
prokaryote,endogenous,Yersinia pestis,5.5e-13,1.39e-15
prokaryote,endogenous,Achromobacter sp.,6e-13,2.27e-15
prokaryote,endogenous,Achromobacter viscosus,6e-13,9.47e-15
prokaryote,endogenous,Aminobacter lissarensis,6e-13,6.4e-16
prokaryote,endogenous,Nitrosomonas europaea,6e-13,4.4e-15
prokaryote,endogenous,Rhizobium leguminosarum,6e-13,2.57e-15
prokaryote,endogenous,Unidentified bacterium,6e-13,2.98e-15
prokaryote,endogenous,Vibrio alginolyticus,6e-13,8.93e-16
prokaryote,endogenous,Vibrio fischeri,6e-13,1.32e-14
prokaryote,endogenous,Vibrio metschnikovii,6e-13,8.93e-16
prokaryote,endogenous,Vibrio parahaemolyticus,6e-13,4.6e-16
prokaryote,endogenous,Salmonella typhimurium,6.6e-13,2.64e-15
prokaryote,endogenous,Bacillus pumilus,7e-13,1.58e-15
prokaryote,endogenous,Bacillus stearothermophilus,7e-13,6.11e-16
prokaryote,endogenous,Bradyrhizobium japonicum,7e-13,3.41e-16
prokaryote,endogenous,Burkholderia sp.,7e-13,6.63e-15
prokaryote,endogenous,Escherichia coli,7e-13,5.97e-15
prokaryote,endogenous,Rhizobium japonicum,7e-13,8.77e-15
prokaryote,endogenous,Rhizobium meliloti,7e-13,3.79e-15
prokaryote,endogenous,Acetobacter aceti,7.5e-13,2.03e-16
prokaryote,endogenous,Alcaligenes eutrophus,8e-13,2.38e-14
prokaryote,endogenous,Bacillus popilliae,8e-13,2.89e-16
prokaryote,endogenous,Delftia acidovorans,8e-13,4.69e-15
prokaryote,endogenous,Enterococcus sp.,8e-13,1.19e-14
prokaryote,endogenous,Lactococcus sp.,8e-13,8.3e-16
prokaryote,endogenous,Rhodobacter sphaeroides,8e-13,7.16e-15
prokaryote,endogenous,Aquaspirillum itersonii,9e-13,4.06e-15
prokaryote,endogenous,Bacillus firmus,9e-13,5.28e-15
prokaryote,endogenous,Enterobacter cloacae,9e-13,1.26e-14
prokaryote,endogenous,Azospirillum brasiliense,1e-12,7.19e-15
prokaryote,endogenous,extorquens,1e-12,2.71e-15
prokaryote,endogenous,Methylosinus trichosporium,1e-12,1.89e-14
prokaryote,endogenous,Myxococcus xanthus,1e-12,2.08e-15
prokaryote,endogenous,Picrophilus oshimae,1e-12,1.38e-15
prokaryote,endogenous,Pseudomonas fluorescens,1e-12,2.32e-15
prokaryote,endogenous,Thiocapsa roseopersicina,1e-12,2.53e-15
prokaryote,endogenous,Micrococcus luteus,1.1e-12,3.52e-16
prokaryote,endogenous,Branhamella catarrhalis,1.3e-12,5.89e-16
prokaryote,endogenous,Bacillus subtilis,1.4e-12,2.08e-15
prokaryote,endogenous,Agrobacterium tumefaciens,1.5e-12,1.35e-14
prokaryote,endogenous,Arthrobacter sp.,1.5e-12,8.12e-16
prokaryote,endogenous,Beneckea natriegens,1.5e-12,1.79e-13
prokaryote,endogenous,Chromatium vinosum,1.5e-12,1.49e-15
prokaryote,endogenous,Desulfovibrio salexigens,1.5e-12,8.8e-15
prokaryote,endogenous,Lactobacillus brevis,1.6e-12,1.44e-16
prokaryote,endogenous,crystallopoietes,1.7e-12,1.53e-16
prokaryote,endogenous,Pseudomonas putida,1.7e-12,7.67e-16
prokaryote,endogenous,Acinetobacter baumannii,2e-12,1.08e-14
prokaryote,endogenous,Acinetobacter calcoaceticus,2e-12,6.04e-15
prokaryote,endogenous,Acinetobacter johnsonii,2e-12,4.15e-14
prokaryote,endogenous,Acinetobacter sp.,2e-12,4.4e-15
prokaryote,endogenous,Acinetobacter sp.,2e-12,5.41e-15
prokaryote,endogenous,Acinetobacter sp.,2e-12,7.22e-15
prokaryote,endogenous,Cellvibrio gilvus,2e-12,3.34e-14
prokaryote,endogenous,Phaeospirillum fulvum,2e-12,2.95e-14
prokaryote,endogenous,Nocardia corallina,2.1e-12,1.61e-15
prokaryote,endogenous,Pediococcus acidilactici,2.2e-12,3.28e-15
prokaryote,endogenous,Moraxella osloensis,2.3e-12,1.35e-14
prokaryote,endogenous,Methylomicrobium sp.,3e-12,1.49e-14
prokaryote,endogenous,Bacillus cereus,3.7e-12,1.38e-14
prokaryote,endogenous,Sporosarcina ureae,3.8e-12,2.06e-14
prokaryote,endogenous,Azospirillum lipoferum,4e-12,4.16e-14
prokaryote,endogenous,Amoebobacter roseus,5e-12,1.22e-14
prokaryote,endogenous,Amoebobaeter pendens,5e-12,1.92e-14
prokaryote,endogenous,Sphaerotilus natans,6.5e-12,1.54e-13
prokaryote,endogenous,Bacillus megaterium,7e-12,1.04e-14
prokaryote,endogenous,Pseudomonas formicans,7e-12,3.16e-14
prokaryote,endogenous,Rhodospirillum rubrum,9e-12,1.8e-14
prokaryote,endogenous,Thiocystis violacea,1.1e-11,1.24e-14
prokaryote,endogenous,Azomonas agilis?,1.3e-11,1.68e-13
prokaryote,endogenous,Azotobacter chroococcum,1.4e-11,1.58e-13
prokaryote,endogenous,Amoebobacter purpureus,3.6e-11,1.79e-13
